['管仲', [-725, -645]]
['方宗誠', [1818, 1888]]
['郭嵩燾', [1818, 1891]]
['孫鼎臣', [1819, 1859]]
['丁寶楨', [1821, 1886]]
['俞樾', [1821, 1907]]
['李元度', [1821, 1887]]
['成書', [1821]]
['郭崑燾', [1823, 1882]]
['曾國荃', [1824, 1890]]
['何秋濤', [1824, 1862]]
['龍文彬', [1824, 1893]]
['黃彭年', [1824, 1890]]
['秦祖永', [1825, 1884]]
['黄以周', [1828, 1899]]
['趙之謙', [1829, 1884]]
['劉坤一', [1830, 1902]]
['李慈銘', [1830, 1895]]
['潘祖蔭', [1830, 1890]]
['吳大澂', [1835, 1902]]
['劉銘傳', [1836, 1896]]
['戴望', [1837, 1873]]
['張之洞', [1837, 1909]]
['黎庶昌', [1837, 1898]]
['張蔭桓', [1837, 1900]]
['薛福成', [1838, 1894]]
['陸心源', [1838, 1894]]
['楊守敬', [1839, 1915]]
['經元善', [1840, 1903]]
['唐景崧', [1841, 1903]]
['王先謙', [1842, 1917]]
['姚振宗', [1842, 1906]]
['王之春', [1842, 1906]]
['呂海寰', [1843, 1927]]
['劉光蕡', [1843, 1903]]
['繆荃孫', [1844, 1919]]
['盛宣懷', [1844, 1916]]
['馬建忠', [1845, 1900]]
['譚宗浚', [1846, 1888]]
['唐宗海', [1846, 1897]]
['朱一新', [1846, 1894]]
['袁昶', [1846, 1900]]
['胡禮垣', [1847, 1916]]
['吳慶坻', [1848, 1924]]
['孫詒讓', [1848, 1908]]
['黃遵憲', [1848, 1905]]
['劉心源', [1848, 1915]]
['葛士濬', [1848, 1895]]
['曹廷杰', [1850, 1926]]
['延茂', [1850, 1900]]
['皮錫瑞', [1850, 1908]]
['王樹枏', [1852, 1936]]
['王樹枬', [1852, 1936]]
['廖平', [1852, 1932]]
['徐世昌', [1855, 1939]]
['馬其昶', [1855, 1930]]
['陳田', [1855]]
['顧璜', [1856, 1927]]
['陳衍', [1856, 1937]]
['韓邦慶', [1856, 1894]]
['小藤文次郎', [1856, 1935]]
['屠寄', [1856, 1921]]
['周學海', [1856, 1906]]
['劉鶚', [1857, 1909]]
['姚錫光', [1857, 1950]]
['易順鼎', [1858, 1920]]
['康有為', [1858, 1927]]
['江標', [1860, 1899]]
['松年', [1861]]
['端方', [1861, 1911]]
